Text	Complexity Score
Which Portuguese winger played beside Zlatan Ibrahimović in the 2008-09 Inter Milan team?	0.19
Mark Selby played guitar for the American country music singer who was part of what battle?	0.23
"What singer from the band ""Mary Mary"" shared the job title of host for an awards show with a television star?"	0.26
"The song ""Young and Menace"" is the lead single from the band Fall Out Boy's Mania, which was released when?"	0.14
Are Schwantesia and Cleome both flowering plants?	0.09
What is the same of the city that is the second largest city municipality in Italy and appeared in The 2010 Giro d'Italia?	0.26
Where is the wild cat preditor of the European rabbit native to?	0.19
In what city is the college preparatory private school where the author of the novel featuring symbologist Robert Langdon and cryptologist Sophie Neveu located?	0.33
What executive producer of The Real Housewives of Miami is also the first openly gay host of an American late-night talk show?	0.33
Which entity does this political philosophy that is sometimes associated with an inherent utopia believe in removing from society?	0.28
Were Elizabeth Taylor and Dino Buzzati both well known or world famours?	0.16
Are both A Midsummer Night's Dream and La sonnambula operas?	0.12
Grosvenor House is owned by the president of what authority?	0.09
"Giuseppe ""Oscar"" Damiani is the agent of a French-born Gabonese professional footballer how is known for his speed, and clocked how many metres in 3.7 seconds?"	0.42
Where is the band who released Steroids from?	0.14
Get Outta My Dreams, Get into My Car was taken from a line in the song released in what year in the US?	0.3
Which is taller 1717 Broadway or One Dag Hammarskjöld Plaza?	0.09
Who is older, Ara Parseghian or Tim Kurkjian?	0.09
What position did the Croation goalscorer in the 2009–10 DFB-Pokal season final primarily play?	0.19
Where is the unincorporated community and census-designated place which The New York Stakes is been held annually located?	0.28
Who is older, Arab-Israeli actor Mohammad Bakri or American painter Julian Schnabel?	0.21
Are Wanding Town and Jiujiang, Guangdong both frontier towns?	0.14
Rodrigo Hinzpeter was appointed as a minister by a president who was in office between what years?	0.19
Mehrdad Raissi Ardali has provided Persian voice over for which movie that was based on a honey bee that learns humans sell and consume honey?	0.35
If you started out at 1 Penn Square in Philadelphia, which direction should you go to find the most notable partof the Avenue of the Arts?	0.35
Which board game was published first, Caylus or Titan?	0.14
What was the record label on which Taylor Swift recorded her debut studio album with the producer who graduated from Lee University?	0.33
In what year was the father of Robin Perutz born?	0.12
What countries have land borders with the country which Johannes (Juho) Lepistö served as member of Parliament?	0.28
What South Korean singer and television personality hosted show also hosted by comedian Jeong Hyeong-don and rapper Defconn?	0.3
Adnan Oktar sent thousands of unsolicited copies of a book that was translated into which languages?	0.23
What city was the site of a 2015 South Korean thriller film that was released on Christmas Day and that starred an actor nominated for the Baeksang Arts Award for his performance?	0.35
Who is an indie pop singer that combines masculine and feminine characteristics?	0.21
Joe Cornish co-wrote a film based on what characters?	0.14
Are both Twilight Struggle and Evo games?	0.09
"The lGerman tv show ""Heute-show"" is a conceptual adaptation of an American show that aired on what network?"	0.23
Was When the Levees Broke filmed after Captain Mike Across America?	0.14
Where did grocery store giants founded in 1854 and 1939 get their start?	0.23
In which city is the southern terminus of this north–south United States highway located, which Kentucky Route 1632 connects KY 9 with?	0.26
What was the first of these types in which was supervised by Walter Zinn of the Manhattan Project?	0.16
Who was the tutor of the person San Casimiro is named after?	0.12
Who was born first, Steve Railsback or Charles Manson?	0.12
Are Liberty University and University of Pécs both located in the United States?	0.14
What haircut was popularized by the actress who starred in the 1928 film A Girl in Every Port?	0.19
What type of unit was this unit of the United States Army that served in combat during the Indian Wars in the western United States for which Wade H. Hammond served as bandmaster?	0.33
To which event where three Roman legions were distroyed is the phrase The German Forest sometimes used to refer to?	0.23
"Which star of ""Mr. Holland's Opus"" was also a radio personality for which station between 1976 to 1979?"	0.21
The Fridge had booked such acts as the English singer and DJ who was the lead singer of what pop band?	0.3
"What actress, born on May 23, 1919, starred in the 1949 film ""Neptune's Daughter""?"	0.16
The quarterback that was drafted by the Cleveland Browns in the 3rd round of the 2010 draft has won the Walter Camp Award how many times?	0.28
In what episode does Henry Mills' biological mother help two children track down their father before they are placed in a foster care system?	0.37
W.H. Walker and Brothers was a narrowboat builder based in a small town approximately 20 mi northwest of what?	0.26
Hylton Riverside is a large retail park that hosts a business founded when 50 JJB Sports Fitness Clubs and the attached retail stores were purchased by who?	0.35
Are the University of New Hampshire and King Mongkut's University of Technology Thonburi both research schools?	0.19
In 2007, in which region was this tropical cyclone affecting Oklahoma and Texas formed?	0.21
Jeff Tisdel coached Nevada to a bowl victory in the bowl game played at what stadium?	0.21
"""Rain Over Me"" is a song by a rapper whose debut album was released in what year?"	0.21
What country of origin does Reece Noi and Waterloo Road have in common?	0.16
Noor Zehra plays a variation of a stringed instrument that was traditionally used to play what kind of music?	0.26
Which American football player who played 15 seasons for the Dallas Cowboys and retired in 1989 was a big factor in the 1983 Dallas Cowboys season?	0.28
The author of the memoir Nomad: From Islam to America: A Personal Journey Through the Clash of Civilizations founded an organisation for what?	0.28
What English-American heavy metal band active from 2006 to 2010's drummer did Greg Hampton form a new project with in 2011?	0.33
Wingaersheek Beach is located in the neighborhood of West Gloucester, a part of which Massachusetts city?	0.16
Mike Lévy remixed tracks for artists such as a Canadian musician who has released how many albums?	0.28
What country were Mark Linkous and Mark Wystrach singers of?	0.07
"Anupam Kher starred in the thriller film ""Lust, Caution"" directed by whom?"	0.19
Who has more scope of profession, Rudolf Schwarzkogler or Alfonso Cuarón?	0.16
Megalyn Echikunwoke played a comic book character in what movie?	0.14
In what city is the CBS station that features children's show Gator Tales?	0.16
The Village Barbershop includes a barber from a city that is in what county?	0.16
The actress who voiced the mother in Footfalls is best known for her role in what television series?	0.26
In what city is Macquarie Media broadcasting's 3AW talkback radio station located?	0.16
Primer Impacto is presented by Félix Fernández and another television personality who anchored Univision's FIFA World Cup coverage until what year?	0.23
What term, more masculine than falsetto, refers to the optimal combination of airflow and glottal tensions that yields maximum vibration?	0.33
Which astronaut flew on the Apollo 7 becoming NASA's 3rd civilian astronaut after Neil Armstrong and Elliot See?	0.3
Pop Wea was associated with a Native American tribe that speaks what language?	0.21
How long is the river that contains Colter Falls?	0.14
Who managed the Detroit Tigers in the 142nd Major League Baseball season?	0.12
Are both Yarmouk University and New York Institute of Technology public institutions?	0.16
Was the commissioner of the building Brenda A. Levin worked on?	0.12
What year was the facility that was replaced by the arena that was briefly known as Paige Sports Arena opened?	0.21
When was the singer who sang Into a Fantasy born?	0.16
Steve Evans has had writing appear in the Florida newspaper owned by which company?	0.16
In between Kai Hansen and Serri who is a South Korean singer, songwriter and actress?	0.21
Solider's Home starring actress started her career when?	0.19
Which English football club's based in West Bridgford and is a former club of Sheffield United's Billy Sharp?	0.23
Who was born first, Emma Bull, or Kenneth Clark?	0.12
What team did the former American football player, sports commentator, and actor coach in the reality television show, Bound for Glory?	0.33
Which location is a seat of Enshi Tujia, Enshi City or Zhuzhou?	0.09
A Ham in a Role is a Looney Tunes short that draws heavily from a tragedy about two young star-crossed what?	0.28
Juwan Howard beat what team to win his first NBA Final?	0.16
What was Telesphorus' father the god of in ancient Greek mythology?	0.16
Were the books Toby Tyler and The Graveyard Book both made into films? No?	0.16
Which of the corporation to which APM Automation Solutions recently became a part is an American multinational corporation headquartered in Ferguson, Missouri, United States?	0.28
"Who created the American sitcom which ""Nothing Good Happens After 2 A.M."" is the 18th episode in the first season of?"	0.3
Which research center is west of a coastal seaport city in Canada?	0.16
The History of Linux began with a personal project by what kind of engineer?	0.16
B Sides and Rarities is a compilation album by American pop singer Andy Williams that included a cover of a song originally recorded by who?	0.37
What type of media does Smash Cut and Sasha Grey have in common?	0.16
Which 2017 documentary film was commissioned in part by the royal who is currently fifth in line to the British throne?	0.28
What city is the Gatchina Palace Egg in?	0.02
This group of people, which have inhabited the state of Arizona for thousands of years, are also served as influences from popular music styles throughout the rest of the United States?	0.37
Who else did the author of The Power Broker write a biography of?	0.14
"Which of these Asian directors was behind the science fiction adventure film ""Snowpiercer"", Bong Joon-ho or Vincent Kok?"	0.23
Thamesville, Ontario is located between Chatham and which city with a population of 383,822 people and is at the confluence of the Thames River?	0.23
What musical strengths do Naser Mestarihi and Ben Weasel share?	0.14
Kent County Cricket Club in 2011 were joined by a Pakistani cricketer who bats left or right-handed?	0.23
"Which came out first, ""Hollywood Chinese"" or ""The Truth According to Wikipedia""?"	0.16
Who lived longer, Bo Widerberg or Petar B. Vasilev?	0.12
Which Supreme Court case addressed more Amendments of the US Constitution, District of Columbia v. Heller or Gibbons v. Ogden?	0.23
The murderer in the investigation the documentary The Witness covers was sentenced to what official punishment?	0.19
"The director of the film ""Muriel"" also directed a film from a screen play by who?"	0.21
Who portrays the character that adopted Henry Mills in the series Once Upon a Time?	0.23
"Slaven Bilić who described Ivica Olic as a typical ""match-winner"" and ""king of important matches"" is a manager of which club?"	0.28
What type of group does Colégio Diocesano de São José 5 and Nossa Senhora de Fátima, Macau have in common?	0.28
Ivan Cooper led an anti-internment march which developed into a massacre where how many people died?	0.3
Both Lacey Sturm and Natalie Maines have what occupation?	0.12
"What is the nickname of the husband of the real life person portrayed by Sharon Stone in the movie ""Casino""?"	0.23
The MacBook uses a series of IPS panel displays that offer what compared to traditional displays?	0.26
"What is the middle name of the character Ellie Kemper portrays in the Netflix original series, ""Unbreakable Kimmy Schmidt""?"	0.26
What is the name of the first live DVD by the black metal band for which Abbath Doom Occulta is the bassist?	0.26
The Chain starred an American actor who has appeared in over 150 films. What did the actor make guest appearences on?	0.19
What is the nationality of Alexa Ray Joel's mother?	0.09
What technology company created the Group Control System operating system and is located in Armonk, New York?	0.19
What country does Games and Official Xbox Magazine have in common?	0.14
The album that played the style of music played in Honky-tonk bars and rock and roll was the first album by who?	0.3
Which British film producer co-produced a film starring Leonardo DeCaprio as a thief?	0.21
Fantastic Beasts and Where to Find Them is written about a topic in the Harry Potter universe, where is this topic derived from?	0.28
Was Kristie Boogert or Alex O'Brien ranked higher as a singles player?	0.14
Blue Vinyl and High School are both what?	0.09
Which genus of plant has more species, Melasphaerula or Weigela?	0.14
Which plant has more spikes projecting from its stems: Fouquieria or Alfalfa?	0.21
"Steve Carell starred alongside Emma Stone in ""Battle of the Sexes"", which was loosely based on whom?"	0.21
What term describes the countries England, Scotland, Wales, and Northern Ireland and held the British Home Championship in 1959-60.?	0.21
Trish Sie was a director for the upcoming musical comedy film written by whom?	0.19
Are Abū Ja'far al-Khāzin and Haly Abenragel both from the Middle East?	0.12
Where was the mixed martial arts event that Sabah Homasi competed in?	0.21
What denomination is the church Jørgen Tandberg served as a bishop in?	0.09
Which city hosted a march in the Nichidatsu Fujii's movement and is the site of Alcatraz island?	0.16
"The producer of ""I Am That Change"" made his adult acting debut in what film?"	0.21
How long did the rebellion led by Samuel Sharpe last?	0.14
How is a Treeing Walker Coonhound and an Otterhound differnt?	0.09
"The Holy Trinity, an episode of British motoring series ""The Grand Tour"" was produced by which independent television production company founded in 2015 in the UK?"	0.35
Which author wrote the novel which Mr. Brownlow is a character in?	0.14
Paricutin is what natural phenomenon that resulted in covering the town of San Juan Parangaricutiro?	0.19
Troy Edward Baker voiced Booker DeWitt in a video game published by which company?	0.16
Both Buddleja and Acantholimon are considered which level of classification?	0.14
Where is the 2014 independent crime drama film, that stars the actor who played the role of James Crockett in Miami Vice, set?	0.35
Who was born first, Berthold Viertel or Wes Anderson?	0.12
Were Miracle and Dinosaur released in the same year?	0.12
Which movie came out first, Still Kicking or American Jobs?	0.14
Which is Roy Clark known for first, performing at Forum 303 Mall or hosting Hee Haw?	0.21
From which long-term Native American alliance is there a namesake state park in Shabbona Township, Illinois?	0.28
The Tower Commission had a National Security Advisor who had served in what previous capacity?	0.19
What team Japanese baseball team does Daisuke Matsuzaka, famous shuuto pitcher, play for?	0.21
What is compact identifier 1996astro for Galaxy Fliament also known as?	0.19
Wolves Within is the fourth album by a band from what city and state?	0.14
What colonel during the Mexican Revolution owned a factory that distilled an alcoholic beverage made from any type of agave plant native to Mexico?	0.3
The Ladder of Lies stars what american film actress best known as the estranged wife of silent film star Rudolph Valentino?	0.35
The Dubai English Speaking College was founded by the daughter of Kind Hussein of Jordan also known as what?	0.19
What is the name of the first collection of poems or the American poet who appeared in numerous literary magazines, including one that added a book division with Elizabeth Ellen as editor?	0.47
Which artist is still part of a band, Brendon Urie or Kevin Max?	0.14
The big winner of the 63rd Bodil Awards was the 2009 English-language film that came from what country?	0.21
Knat Scatt Private Eye is a two-act, 1930s-style film noir musical featuring an American actor known for playing Michael Scott on the American version of what?	0.35
What type of band was the Texas Tornados when Doug Sahm was a member?	0.14
Roman Coppola was a screenwriter who wrote which 2012 coming-of-age film?	0.19
Jim McCormick wrote a song for what artist that has earned more number one albums than any other artist in US jazz chart history?	0.33
Which year was the coach of Houston Cougar's in the 2016-17 season born?	0.09
"In what festival did Gigantic premier in with the actress who played Violet in ""The Incredibles""?"	0.23
What city was the company, which acquired Bob Meyrowitz's company in 2001, founded?	0.16
"Which city is host to ""The Fifty Worst Films of All Time"" writer Michael Medved's syndicated talk show?"	0.23
The town in which Birch Point State Park is located in had what population in the 2010 census?	0.16
In which city is the Gator Bowl Stadium which hosted the Florida-Georgia game?	0.16
Does Dryopteris or Adenanthos have more species?	0.14
"Who acted in the shot film The Shore and is also the youngest actress ever to play Ophelia in a Royal Shakespeare Company production of ""Hamlet.""?"	0.3
Main Rahoon Ya Na Rahoon was a song by a finalist on what program?	0.09
"""No Foe Shall Gather Our Harvest"" is a poem first published in a monthly women's magazine published by who?"	0.3
What school did the man featured on European cover of Madden NFL 99 play collegge football for?	0.16
Did Sir Edmund Gardner feature Sherlock Holmes arch enemy more or less than Sir Arthur Conan Doyle?	0.19
"Which American rapper wrote the song titled ""Love the Way You Lie (Part II)""?"	0.23
The Biograph Theater is notable as the location where a bank robber who escaped from jail twice was shot by who?	0.28
Stan Brakhage and Frank Powell are known for what kind of films?	0.12
Are 7 World Trade Center and the Time Warner Center both located in New York City?	0.12
"What number is the series of ""Oz"" books does the City of Thi appear in?"	0.16
What record company released the album that is a collaboration between Daniel Dumile and Bishop Nehru?	0.19
Who's life is captured in the 1999 British film about the collapse of Baring's Bank, the United Kingdom's oldest merchest bank, due to fraudulent, speculative trading?	0.35
Beyond the Fridge featured a performance by Jonathan miller who first came to prominence when?	0.21
Who is the secretary of a business-oriented American lobbying group that is not an agency of the United States government?	0.26
Which dog is from South America the Schipperke or the Mucuchies?	0.09
What type of animal was pursued and slain by Antoine De Beauterne?	0.12
Sarah Drew had which role on the ABC drama Grey's Anatomy?	0.14
Type 07 military uniforms were first seen during the transfer of sovereignty from the United Kingdom to which country?	0.21
Alaunt or Polish Tatra Sheepdog, which is extinct?	0.09
What prize was won for a book by a British author and illustrator from Dartmoor, focusing on futuristic steampunk London?	0.26
"Which fictional location is featured in the children's novel published fourth in ""The Chronicles of Narnia"" series by C. S. Lewis?"	0.26
No team has won a championship since the Redskins at a Superbowl, at this superbowl what was the final score?	0.23
"Which plant's name is derived from the greek for ""bee,"" Melittis or Hovea?"	0.16
"Who did Holly Dunn record ""Daddy's Hands"" for?"	0.12
The longest river on the east coast has a tributary in Scott Township that is approximately how long?	0.23
What position in the Nigerian Army is the appointer of Mahmood Yakubu retired from?	0.09
Who was born first Quentin Crisp or J. B. Priestley?	0.12
What Pulitzer Prize considered an artist as a finalist who was also part of a duet responsible for the album 'Wisdom in Time'?	0.3
Which fil directed by Brian Percival is about a young girl living with her adoptive German family dua?ing the Nazi err?	0.33
Who introduced the Ultimate Boeing 747 gambit in response to the idea that there must be a god if there appears to be a deliberate design in the natural world?	0.37
Astralwerks was a label that released an album by the artist from what North Carolina city?	0.16
What republic was started because of a dispute in the area The Green Mountain Boys were a militia?	0.16
"What is the rating of the highest charting album from Judy Collins that includes the song from ""Love Actually""?"	0.26
Elkhan Mammadov is the project leader for a bid to host which edition of UEFA European Championship?	0.16
Jessica Canseco is the wife of what cuban-american former outfielder and designated hitter?	0.19
Which American animated television series has C. H. Greenblatt worked on?	0.19
When was the vocalist that took over Bruce Dickinson's position as the lead vocalist for Iron Maiden born?	0.26
Difficult People co-stars the comedian and actor of what nationality?	0.16
GURPS Banestorm and GURPS Infinite Worlds are setting sourcebooks and supplements for what edition of the GURPS Role-Playing Game?	0.21
Which documentary film was released first, Streetwise or The Last Lions?	0.16
The 1934 Texas Tech Matadors represented the college in what city?	0.09
Lutefisk often served at Svensk Hyllningsfest is native to what region?	0.14
Which Lancashire river passes through the small town of Padiham and Burnley?	0.16
What founder of media-platform Complex was also the founder of billion-dollar global fashion company Ecko Unlimited?	0.23
Who is known by the most other names, Scott Sidney or John Dahl?	0.16
Were Disney's The Kid the The Gnome-Mobile directed by different people?	0.14
Fabrizio Ciano was the son of a foreign minister who left behind a diary that was used in an HBO documentry-drama entitled what?	0.3
Which American actor born in 1950 plays a supporting role in the movie Syriana?	0.21
How many houses are in the village which is a part of the Town of Smithtown?	0.21
What happened to the airline charter based in Coral Gables, Florida?	0.16
What American media franchise is centered on a series of monster films featuring Godzilla and King Kong?	0.23
Harry Rimmer was part of a movement that began in what time frame?	0.16
Who wrote the 1971 drama which stars the winner of the 1997 BAFTA Fellowship?	0.16
Gordon Ogilvie wrote his 1973 book over a farmer who pioneered in what field?	0.19
Which area is in opposite direction to the suburb of Adelaide which spans between the Prospect and the Port Adelaide Enfield?	0.23
Who invented the AGA cooker and was instrumental to the success of AGA AB?	0.14
Susan May Pratt played the part of Mandella in a movie that came out in which year?	0.19
Which writer is from a country closer to the United States of America, Halldór Laxness or A. A. Milne?	0.21
Who wrote the introduction to the book Cleaver wrote in 1968?	0.16
The Wedding Present discography equalled a record for a run of top-30 singles by which artist known as the King of Rock and Roll?	0.33
What is the name of the daughter-in-law of Governor John L. Helm, who was also the sister-in-law of Abraham Lincoln?	0.23
Hae Min Lee's body was found in a park that covers how many acres?	0.21
What band released an album in which its title is is related to a band in which Jeff Tweedy is the lead singer?	0.28
Which genus has more species in it, Dipteronia or Syringa?	0.14
What building is connected by tram to the Mirage and is owned by General Growth Properties Inc.?	0.14
"The list of players who have played for the Princeton Rays includes what player nicknamed ""The Perfect Storm""?"	0.23
What genre of film is Futtocks End where Michael Hordern played role of butler?	0.19
Both Olympia Entertainment and Joe Louis Arena are located in what city?	0.12
Who was a religious and literary critic, Henry Roth or Christopher Hitchens?	0.14
The town of Cardin, Oklahoma is located within the Tar Creed Superfund site causing toxic areas and therefore reducing the population to what number in November 2010?	0.3
Who is the American Independent Baptist evangelist that led Billy Graham to Christ?	0.12
Which American actor was Candace Kita guest starred with?	0.12
What single by an Australian rock band was featured in an Australian paranormal television program which premiered on 9 July 2015, on ABC1?	0.3
"Who is the drummer of the band that released the song ""Angels Fall""?"	0.16
How did the Molotov-Ribbentrop Pact impact the land of Tinutul Jiu?	0.09
When did the American comedy drama starring american actresses Kate Hudson, Hayden Panettiere, and Joan cusack released\?	0.23
What is the name of the eighth gate to the city of Babylon, currently housed at Pergamon Museum?	0.21
Which fruits/crops from Stephanandra and Coffea are valued more across the world?	0.16
Which airport is further west, Dayton International Airport or Friday Harbor Airport?	0.12
The college team that Rodney Dent played for has how many all time wins?	0.23
Which work by the brother of Tom and William Delafield Arnold was edited by Louise Manning Hodgkins?	0.14
Who played in more bands, Marty Raybon or Signe Toly Anderson?	0.14
Who killed the American outlaw that was gunned down in a house in St. Joseph, Missouri in 1882?	0.23
Who did the ninth overall pick in the 2007 NBA draft tie with during voting for the 2013 NBA All-Defensive Team?	0.26
Which of the following waterways, Central Arizona Project or Schuylkill Canal are inaccurately named?	0.16
What brothers of Samoan descent recorded an album that reached No. 1 in New Zealand and stayed there for 5 consecutive weeks?	0.28
What show that Tom Warburton worked on aired from September 3, 2010 to April 4, 2014?	0.19
Which magazine has more audience, The Friend or The Saturday Evening Post?	0.14
Which independent publisher founded in 1993 by Jeffrey Thomas publishes horror, science-fiction, and dark fantasy?	0.23
When did the battle where George C. Kimble died take place?	0.16
What was a previous unoffical name for the high performance variant of Audi's compact executive car?	0.26
Are both Paul Baloff and Nick Hexum American?	0.07
Are Romulea and Baikiaea in different plant families?	0.14
Which major awards did the author of the play Seven Guitars receive for his work?	0.19
What position does the man who succeeded David Allison Dodge as Governor of the Bank of Canada now hold?	0.26
Where did the 2017 Gujarat Lions coach graduate from college?	0.09
Which science fiction novel was written by a Lithuanian-American science fiction author, editor, and critic?	0.26
The author of Eiger Dreams was part of an ill fated expedition to where?	0.16
Where was the Northern Pacific Depot built after the previous depot was destroyed in the 200000 acre fire on September 1, 1894?	0.21
Jim Molinari is assistant coach for a team that has how many wins and losses?	0.23
Which clause of the United States constitution prohibits the 18th United States Secretary of Transortation from holding the office of President of the United States?	0.23
Purina ONE is made by a company that is based where?	0.14
The top brand of beer in North Korea is brewed by which company?	0.14
The South Side Writers Group was a circle of African-American writers and poets formed in the 1930s which included an an American journalist, poet, political and labor movement activist and what?	0.37
Canadian actor, director, producer, and musician starred in Street Kings with which other man?	0.19
For how many terms was this Indiana State Senate senator and Chief Justice of the Supreme Court of Indiana elected in the Indiana State Senate after whom the Howard Park Historic District is named?	0.3
Did Andrei Platonov or Alice Walker win more Pulitzer prizes?	0.12
What was the area known in Europe where the pirates were based in against whom Admiral of the Fleet Edward Russell has a operation as a captain in the Mediterranean?	0.35
Which play, written by a professor of several universities including State University of New York at Buffalo and the State University of New York at Stony Brook, shared the title of Obie award for Distinguished play?	0.42
Coptic nationalism is a belief system of a group of people who inhabit which modern-day nation?	0.26
Make America Psycho Again alludes to a campaign slogan that is similar to what other president?	0.19
What is detected by the HVA metabolite, produced by the organic chemical of the catecholamine and phenethylamine families?	0.21
How many copies of the books by the author of The Leopard have sold worldwide?	0.19
Who hosted the reality talent competition for a musical based on a 1939 film?	0.19
Ulrich Walter and Mirosław Hermaszewski were both astronauts, which one was also a german physicist and engineer?	0.21
The Dummer's War was a series of battles fought between New England and which Algonquian-speaking nation of the Wabanaki Confederacy?	0.26
Will, an Indian of the Misquito tribe, is in a book second only in translations to what other book?	0.23
Sophie Grégoire is married to what Canadian politician?	0.09
What music video of the song recorded by Canadian singer Justin Bieber starred Xenia Deli a Moldovan fashion model?	0.26
Sahara Hotnights and Hurricane No. 1. are both what?	0.09
Are Call Me Lucky and In the Realm of the Hackers both American documentries?	0.19
What was the nickname of the family that owned Ashley Park around the turn of the 20th century?	0.21
What is the theme of the pool at Disney's Value Resort that followed All-Star Movies, and All-Star Music?	0.21
A British television dance contest has featured what Brazilian dancing style?	0.19
Mariënhof is a defunct restaurant in what Netherland province?	0.09
Neighboring Rapid city is a memorial with a sculpture whose design was created by who?	0.21
Beautiful Losers and American Harmony are both what?	0.12
Are Dome Mine and Jolly Jack's Lost Mine part of a Gold Rush legend?	0.12
What family does the king who dissloved the Jordanian government in 2009 belong to?	0.21
Are both Diamond v. Chakrabarty and Gates v. Collier United States Supreme Court cases?	0.12
Muriel Ostrich was the face of a carbonated beverage meaning what?	0.14
What type of occupation Johnny Joyce and Paul Simon and have in common?	0.14
What canton of Switzerland was the last to grant women the right to vote that is located near The Marwees?	0.23
What was the Soviet designation for the class of destroyer that is complemented by the Udaloy-class destroyer?	0.21
FreeMIDI was a program made for the operating system developed by what company?	0.16
What type of studyn does Morton Gurtin and Archive for Rational Mechanics and Analysis have in common?	0.21
Favre Lake can be found in what corner of the state of Nevada?	0.14
Khalil Al Ghamdi, from a sovereign Arab state in Western Asia, is a referee for what sport?	0.16
Diego Schwartzmann won the annual finals tournament in 2014, but failed to qualify to defend it in 2015, at which sport?	0.3
Did Peterson's Magazine or Janus have a longer publication run?	0.16
What type of weapon did a British Royal Marine help a soldier and firearms expert create?	0.21
The Hungry Hustlerz: Starvation Is Motivation is the fifth studio album by a rapper that was nominated for a Grammy award in what year?	0.28
The 2013–14 Toronto Raptors season included a trade to the Sacramento Kings for the player of what nationality who played college for Maryland?	0.23
What star of Silver River became a U.S. citizen in 1942?	0.09
When was the actor who starred in The Finest Hours born?	0.19
The Foreigner universe is a fictional universe created by an author that has written approximately how many books?	0.26
James Hillier had a role in Seasons 1 and 2 of the Netflix series created and written by whom?	0.21
The Northrop F-15 Reporter was based on a night fighter that included how many mounted M2 Browning machine guns?	0.26
Which part of Scotland had a famous historical battle and also has a fort that is a scheduled monument?	0.28
"Who directed the 2010 film that starred the actor that played the scientist Jake on the CW's ""The 100""?"	0.28
Which genus, Callianthemum or Chamaemelum, is native to more continents?	0.14
Friedrich Hund, creator of Hund's rule of maximum multiplicity, is known for his work on what?	0.23
"Where did the label connected with the release of Radiohead's album ""In Rainbows"" gain attention after its release?"	0.23
Yes? No? is the debut extended play by South Korean singer and member of what girl group?	0.26
Which coach led the 1922 Texas Longhorns football team to a 7-2 record?	0.14
Do Kitelife and The American Conservative publish articles on similar topics?	0.16
Did Carroll Ballard or Richard Linklater receive an American film director award for Best Director and Best Picture?	0.21
In which country do Ulrike Ottinger and Helmut Käutner hail from?	0.12
What movie did English actor Alistair Petrie star in that also stars Chris Hemsworth?	0.19
When was the Polish professional boxer over which Joe Smith Jr. rose to prominence in 2016 by scoring an upset knockout victory born?	0.35
What is the former name of the city whose symbol is Cerro de la Campana?	0.23
Which mixed martial artist was represented by Marc Roberts?	0.12
Which season of Bolin began airing on Nickelodeon in the U.S. on June 27, 2014?	0.16
Who did Mark Bomar play the role of in the game released worldwide for Microsoft Windows, PlayStation 4, and Xbox One on October 21, 2016?	0.26
In Tetrabiblos, what does Hyleg mean?	0.12
"When was the last film in the series ""American Pie"" released?"	0.16
In what year did a micronation whose capital is Barringun, Queensland declare it's independence from Australia?	0.26
Thomas Emil Homerin) is an American scholar of religion who has published entries in a general knowledge English-language encyclopaedia whose last print edition spanned 32 volumes and had how many pages?	0.49
What upcoming film is based on a man who was awarded an Airman's Medal and a Purple Heart for his actions?	0.26
West Springfield is a suburb located on the west bank of a river that flows in which direction?	0.19
Are Roswell International Air Center and Pago Pago International Airport both located in the mainland US?	0.14
The former site of The New Frontier is currently owned by a company from which country?	0.16
When was the company, which Antonio Clarence Mobley produced for, founded?	0.16
"What style of songs are Lana Del Rey's ""Born to Die"" and ""Video Games""?"	0.14
The Ski Club of Australia is part of which Australian National Park and Reserve?	0.14
Who is the current editor of the journal that where the state-universal coupled cluster (SUCC) method was first published?	0.28
"Which of the following wrote ""Where the Wild Things Are"": Maurice Sendak or Henri Michaux?"	0.21
What Brazilian racing driver died in an accident during the 48th season of FIA Formula One motor racing?	0.21
What year was the bass, vocals member of Four Lovers born?	0.12
What Belgian professional footballer was treated by Serbian traditional healer, Mariana Kovacevic?	0.19
What kind of aircraft are the Embraer E-Jet family and the EMbraer J-Jet E2 family?	0.07
Which singer has released more solo albums, Robb Flynn or Mike Score?	0.16
"Which television series did the writer of ""Business School"" write for first, The Office or The Simpsons?"	0.19
Fünf Minuten Amerika and Felix Salten both were creators of what media?	0.16
Who had a solo career, Paul Carrack of Charlotte Wessels?	0.14
In which year was this party created for which Annie Bell Robinson Devine was elected a state representative?	0.21
Which team that most recently played their home games in Central Broward Stadium did Jamaican footballer Shavar Thomas play for?	0.3
Sue Bennett College is located in what Kentucky county?	0.07
How many men were rescued in the Meuse-Argonne Offensive in October 1918?	0.14
"How many people was the subject of the film ""Life and Death of a Serial Killer"" convicted and sentenced for murdering?"	0.26
Who is older, Robert Lindstedt or Piet Norval?	0.09
Which battleship class had a lead ship that carried the first 14 in /45-caliber gun and was formed between 1908 and 1914?	0.33
Where did the serial killer that the novel The Spider and the Fly was based on die?	0.21
Who purchased the team Michael Schumacher raced for in the 1995 Monaco Grand Prix in 2000?	0.16
Which star from The Ghazi Attack won the State Nandi Award for Best Special Effects in 2006?	0.14
What prize was won by the American economist whose life story is included in those in Radicals for Capitalism?	0.26
How many destinations are served by the airline that Indian merged into on 26 February 2011?	0.21
Jon B. Perdue previously wrote for a channel commonly abbreviated to FNC - What was the full name of the channel?	0.23
What is the location of the site of the upper school founded by James Pilkington?	0.16
Were either The Creatures or Soundgarden formed in the 1990's?	0.12
